year,scenario_code,scenario,s_mil_2025_assumed,g_world,d_mil,d_rest,epsilon,m_NATO,m_nonNATO,M_NATO,M_nonNATO,M_global,eta_mil,eta_rest,E_mil_Gt,E_rest_Gt,E_world_Gt,s_mil,model_family
2032,S2,"NATO→3.5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.033179069054221584,0.032265314063365295,2.3992298505939478,2.3164163563368674,4.715646206930815,0.9537819852696773,0.4201976578460816,4.497698401075897,58.57079459924909,63.068493000324985,0.07131450566057954,Original model reference case
2033,S2,"NATO→3.5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.03399498385901843,0.033490660223439564,2.531976810713982,2.476518975236176,5.008495785950158,0.9442441654169805,0.41599568126762076,4.729242923398971,59.66166574641528,64.39090866981425,0.07344581744683451,Original model reference case
2034,S2,"NATO→3.5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.034591224067421655,0.034386097646015426,2.6536768742950505,2.619015493233934,5.272692367528984,0.9348017237628108,0.41183572445494454,4.928921914037111,60.79007529575973,65.71899720979684,0.07499995622730452,Original model reference case
2035,S2,"NATO→3.5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.03499999999999057,0.03499999999998584,2.765587338911463,2.74574653695796,5.511333875869423,0.9254537065251827,0.4077173672103951,5.100484363321159,61.95483453910448,67.05531890242564,0.07606382978720955,Original model reference case
2036,S2,"NATO→3.5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.035,0.035,2.848554959079574,2.828118933067843,5.6766738921474165,0.9161991694599309,0.40364019353829117,5.200963905280336,63.17534477952408,68.37630868480441,0.07606382978723404,Original model reference case
2037,S2,"NATO→3.5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.035,0.035,2.934011607851961,2.9129625010598783,5.846974108911839,0.9070371777653315,0.39960379160290826,5.303422894214359,64.4198990716807,69.72332196589507,0.07606382978723404,Original model reference case
2038,S2,"NATO→3.5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.035,0.035,3.0220319560875204,3.000351376091675,6.022383332179196,0.8979668059876781,0.3956077536868791,5.407900325230382,65.6889710833928,71.09687140862319,0.07606382978723406,Original model reference case
2039,S2,"NATO→3.5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.035,0.035,3.1126929147701463,3.0903619173744254,6.203054832144572,0.8889871379278014,0.39165167615001034,5.514435961637421,66.98304381373566,72.49747977537308,0.07606382978723406,Original model reference case
2040,S2,"NATO→3.5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.035,0.035,3.20607370221325,3.1830727748956584,6.389146477108909,0.8800972665485234,0.3877351593885103,5.6230703500816785,68.30260977686625,73.92568012694792,0.07606382978723406,Original model reference case
2041,S2,"NATO→3.5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.035,0.035,3.302255913279648,3.278564958142528,6.580820871422176,0.8712962938830381,0.38385780779462514,5.733844835978287,69.6481711894705,75.38201602544879,0.07606382978723406,Original model reference case
