year,scenario_code,scenario,s_mil_2025_assumed,g_world,d_mil,d_rest,epsilon,m_NATO,m_nonNATO,M_NATO,M_nonNATO,M_global,eta_mil,eta_rest,E_mil_Gt,E_rest_Gt,E_world_Gt,s_mil,analysis,GDP_valuation,GDP_world_2025_calibrated,s_NATO_GDP_2025_calibrated,m_nonNATO_2025_calibrated,cum_E_mil_Gt,E_mil_S0_Gt,incremental_E_mil_vs_S0_Gt,cum_incremental_E_mil_vs_S0_Gt
2031,S3,"NATO→5%, nonNATO→3.5%",0.033,0.03,0.01,0.01,0.0,0.041820309958787966,0.031085153047523344,3.5194000382427792,5.1907812806774185,8.710181318920197,0.3220231302278645,0.24195521906009712,2.8048798531709513,58.657438616533526,61.46231846970448,0.045635763879514415,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,15.611439317166436,2.0218314973499214,0.7830483558210299,2.252983588856054
2032,S3,"NATO→5%, nonNATO→3.5%",0.033,0.03,0.01,0.01,0.0,0.04476482353088705,0.032494414269669876,3.8802123048787225,5.588891229568796,9.46910353444752,0.31880289892558583,0.23953566686949612,3.01877765700838,59.693793191004275,62.71257084801265,0.04813672308737833,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,18.630216974174814,2.061661577847715,0.9571160791606652,3.2100996680167193
2033,S3,"NATO→5%, nonNATO→3.5%",0.033,0.03,0.01,0.01,0.0,0.04711057859467799,0.03361710620744138,4.206048484156406,5.955448802419834,10.161497286576239,0.31561486993633,0.23714031020080117,3.20711964446113,60.772931632190634,63.980051276651764,0.05012686892971441,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,21.837336618635945,2.102276310931315,1.1048433335298147,4.314943001546534
2034,S3,"NATO→5%, nonNATO→3.5%",0.033,0.03,0.01,0.01,0.0,0.04882476919383726,0.03443752774044221,4.489864764145169,6.283814556696128,10.773679320841296,0.31245872123696666,0.23476890709879317,3.366330063607223,61.89800518658858,65.2643352501958,0.05157993336946037,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,25.203666682243167,2.1436911542566617,1.2226389093505614,5.537581910897096
2035,S3,"NATO→5%, nonNATO→3.5%",0.033,0.03,0.01,0.01,0.0,0.049999999999972886,0.03499999999998703,4.735875646136936,6.578042316980288,11.313917963117223,0.30933413402459703,0.23242121802780522,3.499781015546199,63.06695391561263,66.56673493115883,0.05257552468459749,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,28.703447697789368,2.1859218699955183,1.3138591455506807,6.851441056447776
2025,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.023992067003357848,1.9029255750000003,3.3552434500000006,5.258169025000001,0.570065356543003,0.2511476745609034,2.9975,51.5025,54.5,0.055,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,2.9975,2.9975,0.0,0.0
2026,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.023992067003357848,1.9600133422500003,3.4559007535000004,5.415914095750001,0.564364702977573,0.2486361978152944,3.05655075,52.517099249999994,55.573649999999994,0.05500000000000001,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,6.05405075,3.05655075,0.0,0.0
2027,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.023992067003357848,2.0188137425175,3.5595777761050007,5.578391518622501,0.5587210559477973,0.24614983583714145,3.1167647997750003,53.551686105225,56.668450905,0.05500000000000001,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,9.170815549775,3.1167647997750003,0.0,0.0
2028,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.023992067003357848,2.0793781547930252,3.66636510938815,5.745743264181176,0.5531338453883193,0.24368833747877003,3.1781650663305676,54.60665432149793,57.78481938782849,0.05500000000000001,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,12.348980616105568,3.1781650663305676,0.0,0.0
2029,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.023992067003357848,2.1417594994368163,3.7763560626697954,5.918115562106612,0.5476025069344361,0.24125145410398233,3.2407749181372805,55.682405411631436,58.92318032976872,0.055000000000000014,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,15.589755534242848,3.2407749181372805,0.0,0.0
